ccgcode,indicator_group,Register_description,disease_register_size,ccg_listsize,prevalence
04K,CKD,Chronic Kidney Disease,10467,354973,2.9486749696
04K,COPD,Chronic Obstructive Pulmonary Disease,5708,354973,1.6080096233
04K,CVDPP,Cardiovascular Disease - Primary Prevention,8023,354973,2.2601719004
04K,DEM,Dementia,1930,354973,0.5437033239
04K,DEP,Depression,16643,354973,4.6885256062
04K,DM,Diabetes,15056,354973,4.2414493497
04K,EP,Epilepsy,2164,354973,0.6096238305
04K,HF,Heart Failure,1958,354973,0.5515912478
04K,HF,Heart Failure due to LVD,452,354973,0.1273336282
04K,HYP,Hypertension,37151,354973,10.465866418
04K,LD,Learning  Disabilities,1552,354973,0.4372163517
04K,MH,Mental Health,3349,354973,0.9434520372
04K,OB,Obesity,24902,354973,7.0151814363
04K,OST,Osteoporosis,402,354973,0.1132480499
04K,PAD,Peripheral Atrial Disease,1730,354973,0.4873610106
04K,PC,Palliative Care,730,354973,0.2056494438
04K,RA,Rheumatoid Arthritis,1610,354973,0.4535556225
04K,SMOK,Smoking Indicators,68471,354973,19.28907269
04K,STIA,Stroke,4818,354973,1.3572863288
04K,THY,Thyroid,8170,354973,2.3015835007
04L,AF,Atrial Fibrillation,2532,147212,1.7199684808
04L,AST,Asthma,10002,147212,6.7942830747
04L,CAN,Cancer,3521,147212,2.3917887129
04L,CHD,Coronary Heart Disease,5561,147212,3.7775453088
04L,CKD,Chronic Kidney Disease,8386,147212,5.6965464772
04L,COPD,Chronic Obstructive Pulmonary Disease,2828,147212,1.9210390457
04L,CVDPP,Cardiovascular Disease - Primary Prevention,3507,147212,2.3822786186
04L,DEM,Dementia,1099,147212,0.7465424014
04L,DEP,Depression,6647,147212,4.5152569084
04L,DM,Diabetes,7502,147212,5.0960519523
04L,EP,Epilepsy,977,147212,0.6636687227
04L,HF,Heart Failure,1016,147212,0.6901611282
04L,HF,Heart Failure due to LVD,227,147212,0.1541993859
04L,HYP,Hypertension,21888,147212,14.868353123
04L,LD,Learning  Disabilities,562,147212,0.3817623563
04L,MH,Mental Health,941,147212,0.6392141945
04L,OB,Obesity,12477,147212,8.475531886
04L,OST,Osteoporosis,156,147212,0.105969622
04L,PAD,Peripheral Atrial Disease,859,147212,0.5835122137
04L,PC,Palliative Care,378,147212,0.2567725457
04L,RA,Rheumatoid Arthritis,817,147212,0.5549819308
04L,SMOK,Smoking Indicators,38239,147212,25.975463957
04L,STIA,Stroke,2955,147212,2.0073091868
04L,THY,Thyroid,5161,147212,3.5058283292
04M,AF,Atrial Fibrillation,1763,94059,1.8743554577
04M,AST,Asthma,5986,94059,6.364090624
04M,CAN,Cancer,2252,94059,2.394241912
04M,CHD,Coronary Heart Disease,3661,94059,3.8922378507
04M,CKD,Chronic Kidney Disease,4976,94059,5.290296516
04M,COPD,Chronic Obstructive Pulmonary Disease,1887,94059,2.0061876057
04M,CVDPP,Cardiovascular Disease - Primary Prevention,2648,94059,2.8152542553
04M,DEM,Dementia,927,94059,0.9855516219
04M,DEP,Depression,5070,94059,5.3902337894
04M,DM,Diabetes,4777,94059,5.0787271819
04M,EP,Epilepsy,694,94059,0.7378347633
04M,HF,Heart Failure,791,94059,0.8409615241
04M,HF,Heart Failure due to LVD,197,94059,0.2094430092
04M,HYP,Hypertension,14156,94059,15.050128111
04M,LD,Learning  Disabilities,378,94059,0.4018754186
04M,MH,Mental Health,688,94059,0.7314557884
04M,OB,Obesity,8176,94059,8.692416462
04M,OST,Osteoporosis,270,94059,0.2870538704
04M,PAD,Peripheral Atrial Disease,598,94059,0.6357711649
04M,PC,Palliative Care,207,94059,0.220074634
04M,RA,Rheumatoid Arthritis,553,94059,0.5879288532
04M,SMOK,Smoking Indicators,24440,94059,25.983691088
04M,STIA,Stroke,1949,94059,2.0721036796
04M,THY,Thyroid,3174,94059,3.3744777214
04N,AF,Atrial Fibrillation,2264,122819,1.8433629976
04N,AST,Asthma,7465,122819,6.0780498131
04N,CAN,Cancer,3185,122819,2.5932469732
04N,CHD,Coronary Heart Disease,4327,122819,3.5230705347
04N,CKD,Chronic Kidney Disease,5773,122819,4.7004128026
04N,COPD,Chronic Obstructive Pulmonary Disease,1684,122819,1.3711233604
04N,CVDPP,Cardiovascular Disease - Primary Prevention,3063,122819,2.4939138081
04N,DEM,Dementia,896,122819,0.7295288188
04N,DEP,Depression,5365,122819,4.368216644
04N,DM,Diabetes,5232,122819,4.25992721
04N,EP,Epilepsy,698,122819,0.5683159772
04N,HF,Heart Failure,945,122819,0.7694249261
04N,HF,Heart Failure due to LVD,178,122819,0.1449287162
04N,HYP,Hypertension,17279,122819,14.068670157
04N,LD,Learning  Disabilities,429,122819,0.3492944903
04N,MH,Mental Health,776,122819,0.6318240663
04N,OB,Obesity,7871,122819,6.4086175592
04N,OST,Osteoporosis,232,122819,0.1888958549
04N,PAD,Peripheral Atrial Disease,694,122819,0.5650591521
04N,PC,Palliative Care,251,122819,0.204365774
04N,RA,Rheumatoid Arthritis,632,122819,0.5145783633
04N,SMOK,Smoking Indicators,29320,122819,23.872527866
04N,STIA,Stroke,2408,122819,1.9606087006
04N,THY,Thyroid,4053,122819,3.2999780164
04Q,AF,Atrial Fibrillation,2593,130224,1.9911844207
04Q,AST,Asthma,8023,130224,6.1609227178
04Q,CAN,Cancer,3457,130224,2.6546565917
04Q,CHD,Coronary Heart Disease,5687,130224,4.3670905517
04Q,CKD,Chronic Kidney Disease,6506,130224,4.9960068805
04Q,COPD,Chronic Obstructive Pulmonary Disease,2366,130224,1.8168693943
04Q,CVDPP,Cardiovascular Disease - Primary Prevention,4102,130224,3.1499569972
04Q,DEM,Dementia,880,130224,0.6757586927
04Q,DEP,Depression,6911,130224,5.3070094606
04Q,DM,Diabetes,7099,130224,5.4513760904
04Q,EP,Epilepsy,852,130224,0.6542572798
04Q,HF,Heart Failure,1311,130224,1.0067268706
04Q,HF,Heart Failure due to LVD,477,130224,0.3662919278
04Q,HYP,Hypertension,21650,130224,16.625199656
04Q,LD,Learning  Disabilities,477,130224,0.3662919278
04Q,MH,Mental Health,808,130224,0.6204693451
04Q,OB,Obesity,12312,130224,9.4544784372
04Q,OST,Osteoporosis,323,130224,0.2480341565
04Q,PAD,Peripheral Atrial Disease,1077,130224,0.827036491
04Q,PC,Palliative Care,321,130224,0.2464983413
04Q,RA,Rheumatoid Arthritis,924,130224,0.7095466273
04Q,SMOK,Smoking Indicators,35164,130224,27.002703035
04Q,STIA,Stroke,2669,130224,2.0495453987
04Q,THY,Thyroid,4457,130224,3.4225641971
04R,AF,Atrial Fibrillation,8743,537052,1.6279615382
04R,AST,Asthma,33162,537052,6.1748210602
04R,CAN,Cancer,10666,537052,1.9860274238
04R,CHD,Coronary Heart Disease,18510,537052,3.4465936259
04R,CKD,Chronic Kidney Disease,16240,537052,3.0239157475
04R,COPD,Chronic Obstructive Pulmonary Disease,9622,537052,1.79163284
04R,CVDPP,Cardiovascular Disease - Primary Prevention,13219,537052,2.4614003858
04R,DEM,Dementia,3743,537052,0.6969529952
04R,DEP,Depression,28869,537052,5.3754571252
04R,DM,Diabetes,29014,537052,5.4024563729
04R,EP,Epilepsy,3505,537052,0.6526369886
04R,HF,Heart Failure,4539,537052,0.8451695553
04R,HF,Heart Failure due to LVD,1173,537052,0.2184146042
04R,HYP,Hypertension,75416,537052,14.042588055
04R,LD,Learning  Disabilities,2568,537052,0.4781659877
04R,MH,Mental Health,4071,537052,0.7580271557
04R,OB,Obesity,45384,537052,8.4505783425
04R,OST,Osteoporosis,881,537052,0.1640437053
04R,PAD,Peripheral Atrial Disease,3392,537052,0.6315961955
04R,PC,Palliative Care,1960,537052,0.3649553488
04R,RA,Rheumatoid Arthritis,3473,537052,0.6466785339
04R,SMOK,Smoking Indicators,129259,537052,24.06824665
04R,STIA,Stroke,9562,537052,1.7804607375
04R,THY,Thyroid,16293,537052,3.033784438
04V,AF,Atrial Fibrillation,6138,372273,1.6487900009
04V,AST,Asthma,22623,372273,6.076991885
04V,CAN,Cancer,8095,372273,2.1744794815
04V,CHD,Coronary Heart Disease,11739,372273,3.1533310232
04V,CKD,Chronic Kidney Disease,12614,372273,3.3883735861
04V,COPD,Chronic Obstructive Pulmonary Disease,6293,372273,1.690426112
04V,CVDPP,Cardiovascular Disease - Primary Prevention,11401,372273,3.0625374389
04V,DEM,Dementia,2310,372273,0.6205123659
04V,DEP,Depression,24714,372273,6.6386764552
04V,DM,Diabetes,19755,372273,5.306589519
04V,EP,Epilepsy,2235,372273,0.6003658605
04V,HF,Heart Failure,3308,372273,0.8885951976
04V,HF,Heart Failure due to LVD,833,372273,0.2237605198
04V,HYP,Hypertension,53515,372273,14.375203144
04V,LD,Learning  Disabilities,1282,372273,0.3443709321
04V,MH,Mental Health,2593,372273,0.6965318463
04V,OB,Obesity,27843,372273,7.4791886599
04V,OST,Osteoporosis,511,372273,0.1372648567
04V,PAD,Peripheral Atrial Disease,2235,372273,0.6003658605
04V,PC,Palliative Care,1847,372273,0.4961412727
04V,RA,Rheumatoid Arthritis,2150,372273,0.5775331544
04V,SMOK,Smoking Indicators,90019,372273,24.180910246
04V,STIA,Stroke,6170,372273,1.6573858432
04V,THY,Thyroid,11828,372273,3.1772382096
04X,AF,Atrial Fibrillation,2512,249018,1.0087624188
04X,AST,Asthma,15113,249018,6.0690391859
04X,CAN,Cancer,3785,249018,1.5199704439
04X,CHD,Coronary Heart Disease,6651,249018,2.6708912609
04X,CKD,Chronic Kidney Disease,7413,249018,2.9768932366
04X,COPD,Chronic Obstructive Pulmonary Disease,3489,249018,1.4011035347
04X,CVDPP,Cardiovascular Disease - Primary Prevention,5668,249018,2.2761406806
04X,DEM,Dementia,1454,249018,0.5838935338
04X,DEP,Depression,13037,249018,5.2353645118
04X,DM,Diabetes,15202,249018,6.1047795742
04X,EP,Epilepsy,1420,249018,0.5702399023
04X,HF,Heart Failure,1542,249018,0.6192323446
04X,HF,Heart Failure due to LVD,416,249018,0.1670561967
04X,HYP,Hypertension,28587,249018,11.47989302
04X,LD,Learning  Disabilities,1167,249018,0.4686408211
04X,MH,Mental Health,2858,249018,1.1477081978
04X,OB,Obesity,18436,249018,7.4034808729
04X,OST,Osteoporosis,279,249018,0.1120400935
04X,PAD,Peripheral Atrial Disease,1381,249018,0.5545783839
04X,PC,Palliative Care,424,249018,0.1702688159
04X,RA,Rheumatoid Arthritis,1395,249018,0.5602004674
04X,SMOK,Smoking Indicators,53221,249018,21.372350593
04X,STIA,Stroke,3369,249018,1.3529142472
04X,THY,Thyroid,6500,249018,2.6102530741
04Y,AF,Atrial Fibrillation,2278,133137,1.7110194762
04Y,AST,Asthma,7657,133137,5.7512186695
04Y,CAN,Cancer,3189,133137,2.3952770454
04Y,CHD,Coronary Heart Disease,5451,133137,4.0942788256
04Y,CKD,Chronic Kidney Disease,4187,133137,3.144880837
04Y,COPD,Chronic Obstructive Pulmonary Disease,2935,133137,2.2044961205
04Y,CVDPP,Cardiovascular Disease - Primary Prevention,3921,133137,2.9450866401
04Y,DEM,Dementia,790,133137,0.5933737428
04Y,DEP,Depression,7077,133137,5.3155771874
04Y,DM,Diabetes,7552,133137,5.6723525391
04Y,EP,Epilepsy,1051,133137,0.7894124098
04Y,HF,Heart Failure,1157,133137,0.8690296462
04Y,HF,Heart Failure due to LVD,341,133137,0.2561271472
04Y,HYP,Hypertension,21044,133137,15.80627474
04Y,LD,Learning  Disabilities,536,133137,0.4025928179
04Y,MH,Mental Health,768,133137,0.5768494108
04Y,OB,Obesity,14333,133137,10.765602349
04Y,OST,Osteoporosis,156,133137,0.1171725366
04Y,PAD,Peripheral Atrial Disease,947,133137,0.7112973854
04Y,PC,Palliative Care,364,133137,0.2734025853
04Y,RA,Rheumatoid Arthritis,1147,133137,0.8615185861
04Y,SMOK,Smoking Indicators,34059,133137,25.581919376
04Y,STIA,Stroke,2575,133137,1.9340979592
04Y,THY,Thyroid,5388,133137,4.0469591473
05A,AF,Atrial Fibrillation,6212,479768,1.294792483
05A,AST,Asthma,28406,479768,5.9207783762
05A,CAN,Cancer,8643,479768,1.8014957229
05A,CHD,Coronary Heart Disease,12814,479768,2.6708742559
05A,CKD,Chronic Kidney Disease,13943,479768,2.9061963282
05A,COPD,Chronic Obstructive Pulmonary Disease,7830,479768,1.6320388188
05A,CVDPP,Cardiovascular Disease - Primary Prevention,13736,479768,2.8630504744
05A,DEM,Dementia,2617,479768,0.5454719781
05A,DEP,Depression,23953,479768,4.9926214337
05A,DM,Diabetes,23660,479768,4.9315502493
05A,EP,Epilepsy,2894,479768,0.6032082173
05A,HF,Heart Failure,3184,479768,0.6636540995
05A,HF,Heart Failure due to LVD,819,479768,0.1707075086
05A,HYP,Hypertension,65409,479768,13.633464508
05A,LD,Learning  Disabilities,1658,479768,0.3455836988
05A,MH,Mental Health,4145,479768,0.863959247
05A,OB,Obesity,34720,479768,7.236831135
05A,OST,Osteoporosis,587,479768,0.1223508029
05A,PAD,Peripheral Atrial Disease,2852,479768,0.5944539861
05A,PC,Palliative Care,759,479768,0.158201464
05A,RA,Rheumatoid Arthritis,2762,479768,0.5756949192
05A,SMOK,Smoking Indicators,108103,479768,22.532348969
05A,STIA,Stroke,7304,479768,1.5224024945
05A,THY,Thyroid,12997,479768,2.7090176919
05C,AF,Atrial Fibrillation,6303,311432,2.0238768014
05C,AST,Asthma,19715,311432,6.3304348943
05C,CAN,Cancer,7434,311432,2.3870379409
05C,CHD,Coronary Heart Disease,12772,311432,4.1010557682
05C,CKD,Chronic Kidney Disease,15393,311432,4.9426520075
05C,COPD,Chronic Obstructive Pulmonary Disease,5900,311432,1.8944745562
05C,CVDPP,Cardiovascular Disease - Primary Prevention,9756,311432,3.1326260628
05C,DEM,Dementia,1914,311432,0.6145803899
05C,DEP,Depression,15657,311432,5.0274217165
05C,DM,Diabetes,17161,311432,5.5103521796
05C,EP,Epilepsy,2200,311432,0.7064142413
05C,HF,Heart Failure,2612,311432,0.8387063629
05C,HF,Heart Failure due to LVD,804,311432,0.2581622955
05C,HYP,Hypertension,55172,311432,17.715584783
05C,LD,Learning  Disabilities,1288,311432,0.4135734285
05C,MH,Mental Health,2315,311432,0.7433404403
05C,OB,Obesity,31506,311432,10.11649413
05C,OST,Osteoporosis,700,311432,0.2247681677
05C,PAD,Peripheral Atrial Disease,2301,311432,0.7388450769
05C,PC,Palliative Care,986,311432,0.3166020191
05C,RA,Rheumatoid Arthritis,2486,311432,0.7982480927
05C,SMOK,Smoking Indicators,85822,311432,27.557219554
05C,STIA,Stroke,6332,311432,2.0331886254
05C,THY,Thyroid,12810,311432,4.1132574687
05D,AF,Atrial Fibrillation,2236,136351,1.639885296
05D,AST,Asthma,8068,136351,5.9170816496
05D,CAN,Cancer,3286,136351,2.409956656
05D,CHD,Coronary Heart Disease,4516,136351,3.3120402491
05D,CKD,Chronic Kidney Disease,4859,136351,3.5635968933
05D,COPD,Chronic Obstructive Pulmonary Disease,2318,136351,1.7000242022
05D,CVDPP,Cardiovascular Disease - Primary Prevention,3709,136351,2.7201854038
05D,DEM,Dementia,790,136351,0.5793870232
05D,DEP,Depression,6449,136351,4.7297049527
05D,DM,Diabetes,7115,136351,5.2181502153
05D,EP,Epilepsy,927,136351,0.6798630006
05D,HF,Heart Failure,1038,136351,0.7612705444
05D,HF,Heart Failure due to LVD,359,136351,0.263291065
05D,HYP,Hypertension,18939,136351,13.88988713
05D,LD,Learning  Disabilities,569,136351,0.417305337
05D,MH,Mental Health,783,136351,0.5742532141
05D,OB,Obesity,11659,136351,8.5507257006
05D,OST,Osteoporosis,260,136351,0.1906843367
05D,PAD,Peripheral Atrial Disease,766,136351,0.5617853921
05D,PC,Palliative Care,204,136351,0.1496138642
05D,RA,Rheumatoid Arthritis,874,136351,0.640992732
05D,SMOK,Smoking Indicators,32514,136351,23.845809712
05D,STIA,Stroke,2334,136351,1.711758623
05D,THY,Thyroid,4886,136351,3.5833987283
05F,AF,Atrial Fibrillation,3817,182272,2.0941230688
05F,AST,Asthma,11533,182272,6.3273569171
05F,CAN,Cancer,5077,182272,2.7853976475
05F,CHD,Coronary Heart Disease,6397,182272,3.5095900632
05F,CKD,Chronic Kidney Disease,7714,182272,4.2321365871
05F,COPD,Chronic Obstructive Pulmonary Disease,3547,182272,1.945992802
05F,CVDPP,Cardiovascular Disease - Primary Prevention,6262,182272,3.4355249298
05F,DEM,Dementia,1113,182272,0.6106258778
05F,DEP,Depression,8894,182272,4.8795207163
05F,DM,Diabetes,9404,182272,5.1593223315
05F,EP,Epilepsy,1302,182272,0.7143170646
05F,HF,Heart Failure,1717,182272,0.9419987711
05F,HF,Heart Failure due to LVD,549,182272,0.3011982093
05F,HYP,Hypertension,29116,182272,15.973929073
05F,LD,Learning  Disabilities,889,182272,0.4877326194
05F,MH,Mental Health,1419,182272,0.7785068469
05F,OB,Obesity,15298,182272,8.3929511938
05F,OST,Osteoporosis,391,182272,0.2145145716
05F,PAD,Peripheral Atrial Disease,1295,182272,0.7104766503
05F,PC,Palliative Care,392,182272,0.2150632022
05F,RA,Rheumatoid Arthritis,1542,182272,0.8459884129
05F,SMOK,Smoking Indicators,48028,182272,26.34963132
05F,STIA,Stroke,4065,182272,2.2301834621
05F,THY,Thyroid,6647,182272,3.6467477177
05G,AF,Atrial Fibrillation,4134,203167,2.0347792703
05G,AST,Asthma,12836,203167,6.3179551797
05G,CAN,Cancer,4903,203167,2.4132856222
05G,CHD,Coronary Heart Disease,8125,203167,3.9991730941
05G,CKD,Chronic Kidney Disease,6911,203167,3.4016351081
05G,COPD,Chronic Obstructive Pulmonary Disease,4314,203167,2.1233763357
05G,CVDPP,Cardiovascular Disease - Primary Prevention,7392,203167,3.6383861552
05G,DEM,Dementia,1488,203167,0.7324024079
05G,DEP,Depression,12102,203167,5.956676035
05G,DM,Diabetes,11948,203167,5.8808763234
05G,EP,Epilepsy,1558,203167,0.7668568222
05G,HF,Heart Failure,1548,203167,0.761934763
05G,HF,Heart Failure due to LVD,401,203167,0.1973745736
05G,HYP,Hypertension,34207,203167,16.83688788
05G,LD,Learning  Disabilities,771,203167,0.3794907638
05G,MH,Mental Health,1541,203167,0.7584893216
05G,OB,Obesity,18863,203167,9.2844802552
05G,OST,Osteoporosis,307,203167,0.1511072172
05G,PAD,Peripheral Atrial Disease,1455,203167,0.7161596125
05G,PC,Palliative Care,642,203167,0.3159962002
05G,RA,Rheumatoid Arthritis,1433,203167,0.7053310823
05G,SMOK,Smoking Indicators,54949,203167,27.046223058
05G,STIA,Stroke,4787,203167,2.3561897355
05G,THY,Thyroid,6646,203167,3.2712005395
05H,AF,Atrial Fibrillation,2804,184562,1.5192726563
05H,AST,Asthma,10923,184562,5.9183363856
05H,CAN,Cancer,3758,184562,2.0361721264
05H,CHD,Coronary Heart Disease,6051,184562,3.278573054
05H,CKD,Chronic Kidney Disease,8662,184562,4.693273805
05H,COPD,Chronic Obstructive Pulmonary Disease,3527,184562,1.911010934
05H,CVDPP,Cardiovascular Disease - Primary Prevention,5572,184562,3.0190396723
05H,DEM,Dementia,1135,184562,0.6149694953
05H,DEP,Depression,7404,184562,4.0116600384
05H,DM,Diabetes,10482,184562,5.6793922909
05H,EP,Epilepsy,1295,184562,0.7016612304
05H,HF,Heart Failure,1411,184562,0.7645127383
05H,HF,Heart Failure due to LVD,340,184562,0.1842199369
05H,HYP,Hypertension,28999,184562,15.71233515
05H,LD,Learning  Disabilities,708,184562,0.3836109275
05H,MH,Mental Health,1160,184562,0.6285150789
05H,OB,Obesity,15773,184562,8.5461796036
05H,OST,Osteoporosis,236,184562,0.1278703092
05H,PAD,Peripheral Atrial Disease,1180,184562,0.6393515458
05H,PC,Palliative Care,345,184562,0.1869290537
05H,RA,Rheumatoid Arthritis,1257,184562,0.6810719433
05H,SMOK,Smoking Indicators,47657,184562,25.821675101
05H,STIA,Stroke,3190,184562,1.7284164671
05H,THY,Thyroid,8045,184562,4.3589688018
05J,AF,Atrial Fibrillation,2850,172277,1.6543125316
05J,AST,Asthma,10818,172277,6.2794220935
05J,CAN,Cancer,4059,172277,2.3560893213
05J,CHD,Coronary Heart Disease,6061,172277,3.5181713171
05J,CKD,Chronic Kidney Disease,7027,172277,4.0788961962
05J,COPD,Chronic Obstructive Pulmonary Disease,3106,172277,1.8029104291
05J,CVDPP,Cardiovascular Disease - Primary Prevention,5552,172277,3.2227169036
05J,DEM,Dementia,1062,172277,0.6164490907
05J,DEP,Depression,10876,172277,6.3130888047
05J,DM,Diabetes,9065,172277,5.2618747714
05J,EP,Epilepsy,1163,172277,0.675075605
05J,HF,Heart Failure,1359,172277,0.7888458703
05J,HF,Heart Failure due to LVD,488,172277,0.2832647422
05J,HYP,Hypertension,25397,172277,14.741956268
05J,LD,Learning  Disabilities,592,172277,0.3436326381
05J,MH,Mental Health,1161,172277,0.6739146839
05J,OB,Obesity,13530,172277,7.8536310709
05J,OST,Osteoporosis,368,172277,0.2136094778
05J,PAD,Peripheral Atrial Disease,1104,172277,0.6408284333
05J,PC,Palliative Care,529,172277,0.3070636243
05J,RA,Rheumatoid Arthritis,1235,172277,0.7168687637
05J,SMOK,Smoking Indicators,43163,172277,25.054418175
05J,STIA,Stroke,3348,172277,1.9433818792
05J,THY,Thyroid,6655,172277,3.8629648763
05L,AF,Atrial Fibrillation,5925,545234,1.0866893847
05L,AST,Asthma,32707,545234,5.9987088113
05L,CAN,Cancer,7675,545234,1.4076524942
05L,CHD,Coronary Heart Disease,16563,545234,3.037778275
05L,CKD,Chronic Kidney Disease,16927,545234,3.1045386018
05L,COPD,Chronic Obstructive Pulmonary Disease,8491,545234,1.5573130069
05L,CVDPP,Cardiovascular Disease - Primary Prevention,14710,545234,2.697924194
05L,DEM,Dementia,2683,545234,0.4920822986
05L,DEP,Depression,23193,545234,4.253769941
05L,DM,Diabetes,37068,545234,6.7985488799
05L,EP,Epilepsy,3151,545234,0.5779170044
05L,HF,Heart Failure,3799,545234,0.6967650587
05L,HF,Heart Failure due to LVD,1183,545234,0.216971062
